Created with UCDetector 2.0.0	2025-07-17 13:00:59	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
net.minecraft.src.Packet29DestroyEntity.entityId(Packet29DestroyEntity.java:8)	Change visibility of Field "Packet29DestroyEntity.entityId" to default	Packet29DestroyEntity.entityId	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EnchantmentLootBonus.<init>(EnchantmentLootBonus.java:3)	Change visibility of Class "EnchantmentLootBonus" to default - May cause compile errors!	EnchantmentLootBonus	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NoiseGenerator.<init>(NoiseGenerator.java:3)	Change visibility of Class "NoiseGenerator" to default - May cause compile errors!	NoiseGenerator	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldGenDeadBush.<init>(WorldGenDeadBush.java:5)	Class "WorldGenDeadBush" has 0 references	WorldGenDeadBush	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.WorldClient.<init>(WorldClient.java:8)	Change visibility of Class "WorldClient" to default - May cause compile errors!	WorldClient	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldClient.WorldClient(WorldClient.java:16)	Change visibility of Constructor "WorldClient.WorldClient(NetClientHandler,WorldSettings,*,*)" to default	WorldClient.WorldClient(NetClientHandler,WorldSettings,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldClient.invalidateBlockReceiveRegion(WorldClient.java:51)	Change visibility of Method "WorldClient.invalidateBlockReceiveRegion(int,int,int,int,int,int)" to default	WorldClient.invalidateBlockReceiveRegion(int,int,int,int,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldClient.doPreChunk(WorldClient.java:93)	Change visibility of Method "WorldClient.doPreChunk(int,int,boolean)" to default	WorldClient.doPreChunk(int,int,boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldClient.addEntityToWorld(WorldClient.java:141)	Change visibility of Method "WorldClient.addEntityToWorld(int,Entity)" to default	WorldClient.addEntityToWorld(int,Entity)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldClient.getEntityByID(WorldClient.java:156)	Change visibility of Method "WorldClient.getEntityByID(int)" to default	WorldClient.getEntityByID(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldClient.removeEntityFromWorld(WorldClient.java:160)	Change visibility of Method "WorldClient.removeEntityFromWorld(int)" to default	WorldClient.removeEntityFromWorld(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldClient.setBlockAndMetadataAndInvalidate(WorldClient.java:170)	Change visibility of Method "WorldClient.setBlockAndMetadataAndInvalidate(int,int,int,int,int)" to default	WorldClient.setBlockAndMetadataAndInvalidate(int,int,int,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BlockObsidian.<init>(BlockObsidian.java:5)	Change visibility of Class "BlockObsidian" to default - May cause compile errors!	BlockObsidian	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BlockObsidian.BlockObsidian(BlockObsidian.java:6)	Change visibility of Constructor "BlockObsidian.BlockObsidian(int,int)" to default	BlockObsidian.BlockObsidian(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.PathFinder.<init>(PathFinder.java:3)	Change visibility of Class "PathFinder" to default - May cause compile errors!	PathFinder	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.PathFinder.PathFinder(PathFinder.java:13)	Change visibility of Constructor "PathFinder.PathFinder(IBlockAccess,boolean,boolean,boolean,*)" to default	PathFinder.PathFinder(IBlockAccess,boolean,boolean,boolean,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.PathFinder.createEntityPathTo(PathFinder.java:21)	Change visibility of Method "PathFinder.createEntityPathTo(Entity,Entity,float)" to default	PathFinder.createEntityPathTo(Entity,Entity,float)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.PathFinder.createEntityPathTo(PathFinder.java:25)	Change visibility of Method "PathFinder.createEntityPathTo(Entity,int,int,int,float)" to default	PathFinder.createEntityPathTo(Entity,int,int,int,float)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.GuiYesNo.<init>(GuiYesNo.java:3)	Change visibility of Class "GuiYesNo" to default - May cause compile errors!	GuiYesNo	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.GuiYesNo.GuiYesNo(GuiYesNo.java:11)	Change visibility of Constructor "GuiYesNo.GuiYesNo(GuiScreen,String,String,int)" to default	GuiYesNo.GuiYesNo(GuiScreen,String,String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.GuiYesNo.GuiYesNo(GuiYesNo.java:21)	Change visibility of Constructor "GuiYesNo.GuiYesNo(GuiScreen,String,String,String,*,*)" to default	GuiYesNo.GuiYesNo(GuiScreen,String,String,String,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.GuiChat.completePlayerName(GuiChat.java:145)	Change visibility of Method "GuiChat.completePlayerName()" to private	GuiChat.completePlayerName()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.GuiChat.func_50058_a(GuiChat.java:196)	Change visibility of Method "GuiChat.func_50058_a(int)" to private	GuiChat.func_50058_a(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NetClientHandler.NetClientHandler(NetClientHandler.java:33)	Change visibility of Constructor "NetClientHandler.NetClientHandler(Minecraft,String,int)" to default	NetClientHandler.NetClientHandler(Minecraft,String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetClientHandler.processReadPackets(NetClientHandler.java:39)	Change visibility of Method "NetClientHandler.processReadPackets()" to default	NetClientHandler.processReadPackets()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetClientHandler.quitWithPacket(NetClientHandler.java:370)	Change visibility of Method "NetClientHandler.quitWithPacket(Packet)" to default	NetClientHandler.quitWithPacket(Packet)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetClientHandler.addToSendQueue(NetClientHandler.java:377)	Change visibility of Method "NetClientHandler.addToSendQueue(Packet)" to default	NetClientHandler.addToSendQueue(Packet)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetClientHandler.disconnect(NetClientHandler.java:480)	Change visibility of Method "NetClientHandler.disconnect()" to default	NetClientHandler.disconnect()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetClientHandler.field_1209_a(NetClientHandler.java:23)	Change visibility of Field "NetClientHandler.field_1209_a" to default	NetClientHandler.field_1209_a	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetClientHandler.mapStorage(NetClientHandler.java:27)	Change visibility of Field "NetClientHandler.mapStorage" to default	NetClientHandler.mapStorage	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetClientHandler.playerNames(NetClientHandler.java:29)	Change visibility of Field "NetClientHandler.playerNames" to default	NetClientHandler.playerNames	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetClientHandler.currentServerMaxPlayers(NetClientHandler.java:30)	Change visibility of Field "NetClientHandler.currentServerMaxPlayers" to default	NetClientHandler.currentServerMaxPlayers	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetClientHandler.rand(NetClientHandler.java:31)	Change visibility of Field "NetClientHandler.rand" to private	NetClientHandler.rand	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BlockRedstoneOre.<init>(BlockRedstoneOre.java:5)	Change visibility of Class "BlockRedstoneOre" to default - May cause compile errors!	BlockRedstoneOre	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BlockRedstoneOre.BlockRedstoneOre(BlockRedstoneOre.java:8)	Change visibility of Constructor "BlockRedstoneOre.BlockRedstoneOre(int,int,boolean)" to default	BlockRedstoneOre.BlockRedstoneOre(int,int,boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BlockRedstoneOre.particleName(BlockRedstoneOre.java:25)	Change visibility of Method "BlockRedstoneOre.particleName()" to private	BlockRedstoneOre.particleName()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ItemDyeable.<init>(ItemDyeable.java:3)	Change visibility of Class "ItemDyeable" to default - May cause compile errors!	ItemDyeable	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemDyeable.ItemDyeable(ItemDyeable.java:6)	Change visibility of Constructor "ItemDyeable.ItemDyeable(int)" to default	ItemDyeable.ItemDyeable(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ScaledResolution.scaleFactor(ScaledResolution.java:8)	Change visibility of Field "ScaledResolution.scaleFactor" to default	ScaledResolution.scaleFactor	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityAINearestAttackableTargetSorter.<init>(EntityAINearestAttackableTargetSorter.java:5)	Change visibility of Class "EntityAINearestAttackableTargetSorter" to default - May cause compile errors!	EntityAINearestAttackableTargetSorter	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityAINearestAttackableTargetSorter.EntityAINearestAttackableTargetSorter(EntityAINearestAttackableTargetSorter.java:9)	Change visibility of Constructor "EntityAINearestAttackableTargetSorter.EntityAINearestAttackableTargetSorter(EntityAINearestAttackableTarget,*)" to default	EntityAINearestAttackableTargetSorter.EntityAINearestAttackableTargetSorter(EntityAINearestAttackableTarget,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityAINearestAttackableTargetSorter.func_48469_a(EntityAINearestAttackableTargetSorter.java:14)	Change visibility of Method "EntityAINearestAttackableTargetSorter.func_48469_a(Entity,Entity)" to private	EntityAINearestAttackableTargetSorter.func_48469_a(Entity,Entity)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityAINearestAttackableTargetSorter.parent(EntityAINearestAttackableTargetSorter.java:7)	Change visibility of Field "EntityAINearestAttackableTargetSorter.parent" to private	EntityAINearestAttackableTargetSorter.parent	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityAINearestAttackableTargetSorter.parent(EntityAINearestAttackableTargetSorter.java:7)	Field "EntityAINearestAttackableTargetSorter.parent" is never read	EntityAINearestAttackableTargetSorter.parent	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.ITextureProvider.<init>(ITextureProvider.java:3)	Change visibility of Interface "ITextureProvider" to default - May cause compile errors!	ITextureProvider	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderLightningBolt.<init>(RenderLightningBolt.java:7)	Change visibility of Class "RenderLightningBolt" to default - May cause compile errors!	RenderLightningBolt	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderLightningBolt.doRenderLightningBolt(RenderLightningBolt.java:8)	Change visibility of Method "RenderLightningBolt.doRenderLightningBolt(EntityLightningBolt,double,double,*,*,*)" to private	RenderLightningBolt.doRenderLightningBolt(EntityLightningBolt,double,double,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.WorldGenShrub.<init>(WorldGenShrub.java:5)	Class "WorldGenShrub" has 0 references	WorldGenShrub	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Packet30Entity.<init>(Packet30Entity.java:7)	Change visibility of Class "Packet30Entity" to default - May cause compile errors!	Packet30Entity	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet30Entity.Packet30Entity(Packet30Entity.java:19)	Change visibility of Constructor "Packet30Entity.Packet30Entity(int)" to default	Packet30Entity.Packet30Entity(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet30Entity.entityId(Packet30Entity.java:8)	Change visibility of Field "Packet30Entity.entityId" to default	Packet30Entity.entityId	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet30Entity.xPosition(Packet30Entity.java:9)	Change visibility of Field "Packet30Entity.xPosition" to default	Packet30Entity.xPosition	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet30Entity.yPosition(Packet30Entity.java:10)	Change visibility of Field "Packet30Entity.yPosition" to default	Packet30Entity.yPosition	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet30Entity.zPosition(Packet30Entity.java:11)	Change visibility of Field "Packet30Entity.zPosition" to default	Packet30Entity.zPosition	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet30Entity.yaw(Packet30Entity.java:12)	Change visibility of Field "Packet30Entity.yaw" to default	Packet30Entity.yaw	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet30Entity.pitch(Packet30Entity.java:13)	Change visibility of Field "Packet30Entity.pitch" to default	Packet30Entity.pitch	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet30Entity.rotating(Packet30Entity.java:14)	Change visibility of Field "Packet30Entity.rotating" to default	Packet30Entity.rotating	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemSign.<init>(ItemSign.java:3)	Change visibility of Class "ItemSign" to default - May cause compile errors!	ItemSign	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemSign.ItemSign(ItemSign.java:4)	Change visibility of Constructor "ItemSign.ItemSign(int)" to default	ItemSign.ItemSign(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemSign.blockIsValid(ItemSign.java:11)	Change visibility of Method "ItemSign.blockIsValid(World,int,int,int,int)" to private	ItemSign.blockIsValid(World,int,int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ItemHoe.<init>(ItemHoe.java:3)	Change visibility of Class "ItemHoe" to default - May cause compile errors!	ItemHoe	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemHoe.ItemHoe(ItemHoe.java:4)	Change visibility of Constructor "ItemHoe.ItemHoe(int,EnumToolMaterial)" to default	ItemHoe.ItemHoe(int,EnumToolMaterial)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityAIOcelotAttack.<init>(EntityAIOcelotAttack.java:3)	Change visibility of Class "EntityAIOcelotAttack" to default - May cause compile errors!	EntityAIOcelotAttack	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityAIOcelotAttack.EntityAIOcelotAttack(EntityAIOcelotAttack.java:9)	Change visibility of Constructor "EntityAIOcelotAttack.EntityAIOcelotAttack(EntityLiving)" to default	EntityAIOcelotAttack.EntityAIOcelotAttack(EntityLiving)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityAIOcelotAttack.theWorld(EntityAIOcelotAttack.java:4)	Change visibility of Field "EntityAIOcelotAttack.theWorld" to private	EntityAIOcelotAttack.theWorld	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityAIOcelotAttack.theWorld(EntityAIOcelotAttack.java:4)	Field "EntityAIOcelotAttack.theWorld" is never read	EntityAIOcelotAttack.theWorld	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.EntityAIOcelotAttack.theEntity(EntityAIOcelotAttack.java:5)	Change visibility of Field "EntityAIOcelotAttack.theEntity" to private	EntityAIOcelotAttack.theEntity	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityAIOcelotAttack.theTarget(EntityAIOcelotAttack.java:6)	Change visibility of Field "EntityAIOcelotAttack.theTarget" to private	EntityAIOcelotAttack.theTarget	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityAIOcelotAttack.field_48360_d(EntityAIOcelotAttack.java:7)	Change visibility of Field "EntityAIOcelotAttack.field_48360_d" to private	EntityAIOcelotAttack.field_48360_d	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntitySnowman.<init>(EntitySnowman.java:3)	Change visibility of Class "EntitySnowman" to default - May cause compile errors!	EntitySnowman	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySnowman.EntitySnowman(EntitySnowman.java:4)	Change visibility of Constructor "EntitySnowman.EntitySnowman(World)" to default	EntitySnowman.EntitySnowman(World)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BlockStep.<init>(BlockStep.java:7)	Change visibility of Class "BlockStep" to default - May cause compile errors!	BlockStep	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BlockStep.BlockStep(BlockStep.java:11)	Change visibility of Constructor "BlockStep.BlockStep(int,boolean)" to default	BlockStep.BlockStep(int,boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BlockStep.isUpper(BlockStep.java:177)	Change visibility of Method "BlockStep.isUpper(int)" to private	BlockStep.isUpper(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BlockStep.blockStepTypes(BlockStep.java:8)	Change visibility of Field "BlockStep.blockStepTypes" to default	BlockStep.blockStepTypes	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BlockStep.blockIsDouble(BlockStep.java:9)	Change visibility of Field "BlockStep.blockIsDouble" to private	BlockStep.blockIsDouble	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityCreeper.<init>(EntityCreeper.java:3)	Change visibility of Class "EntityCreeper" to default - May cause compile errors!	EntityCreeper	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityCreeper.EntityCreeper(EntityCreeper.java:7)	Constructor "EntityCreeper.EntityCreeper(World)" has 0 references	EntityCreeper.EntityCreeper(World)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.EntityCreeper.setCreeperFlashTime(EntityCreeper.java:102)	Change visibility of Method "EntityCreeper.setCreeperFlashTime(float)" to default	EntityCreeper.setCreeperFlashTime(float)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityCreeper.timeSinceIgnited(EntityCreeper.java:4)	Change visibility of Field "EntityCreeper.timeSinceIgnited" to private	EntityCreeper.timeSinceIgnited	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityCreeper.lastActiveTime(EntityCreeper.java:5)	Change visibility of Field "EntityCreeper.lastActiveTime" to private	EntityCreeper.lastActiveTime	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.SpawnerAnimals.<init>(SpawnerAnimals.java:9)	Change visibility of Class "SpawnerAnimals" to default - May cause compile errors!	SpawnerAnimals	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.SpawnerAnimals.getRandomSpawningPointInChunk(SpawnerAnimals.java:14)	Change visibility of Method "SpawnerAnimals.getRandomSpawningPointInChunk(World,int,int)" to private	SpawnerAnimals.getRandomSpawningPointInChunk(World,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.SpawnerAnimals.performSpawning(SpawnerAnimals.java:22)	Change visibility of Method "SpawnerAnimals.performSpawning(World,boolean,boolean)" to default	SpawnerAnimals.performSpawning(World,boolean,boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.SpawnerAnimals.canCreatureTypeSpawnAtLocation(SpawnerAnimals.java:159)	Change visibility of Method "SpawnerAnimals.canCreatureTypeSpawnAtLocation(EnumCreatureType,World,int,int,*)" to default	SpawnerAnimals.canCreatureTypeSpawnAtLocation(EnumCreatureType,World,int,int,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.SpawnerAnimals.creatureSpecificInit(SpawnerAnimals.java:177)	Change visibility of Method "SpawnerAnimals.creatureSpecificInit(EntityLiving,World,float,float,*)" to default	SpawnerAnimals.creatureSpecificInit(EntityLiving,World,float,float,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.SpawnerAnimals.performWorldGenSpawning(SpawnerAnimals.java:199)	Change visibility of Method "SpawnerAnimals.performWorldGenSpawning(World,BiomeGenBase,int,int,int,*,*)" to default	SpawnerAnimals.performWorldGenSpawning(World,BiomeGenBase,int,int,int,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.SpawnerAnimals.nightSpawnEntities(SpawnerAnimals.java:12)	Constant "SpawnerAnimals.nightSpawnEntities" has 0 references	SpawnerAnimals.nightSpawnEntities	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.GenLayerBiomesAlpha.<init>(GenLayerBiomesAlpha.java:3)	Change visibility of Class "GenLayerBiomesAlpha" to default - May cause compile errors!	GenLayerBiomesAlpha	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.GenLayerBiomesAlpha.GenLayerBiomesAlpha(GenLayerBiomesAlpha.java:6)	Change visibility of Constructor "GenLayerBiomesAlpha.GenLayerBiomesAlpha(long,WorldType)" to default	GenLayerBiomesAlpha.GenLayerBiomesAlpha(long,WorldType)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.TextureLavaFlowFX.field_1143_g(TextureLavaFlowFX.java:4)	Change visibility of Field "TextureLavaFlowFX.field_1143_g" to private	TextureLavaFlowFX.field_1143_g	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.TextureLavaFlowFX.field_1142_h(TextureLavaFlowFX.java:5)	Change visibility of Field "TextureLavaFlowFX.field_1142_h" to private	TextureLavaFlowFX.field_1142_h	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.TextureLavaFlowFX.field_1141_i(TextureLavaFlowFX.java:6)	Change visibility of Field "TextureLavaFlowFX.field_1141_i" to private	TextureLavaFlowFX.field_1141_i	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.TextureLavaFlowFX.field_1140_j(TextureLavaFlowFX.java:7)	Change visibility of Field "TextureLavaFlowFX.field_1140_j" to private	TextureLavaFlowFX.field_1140_j	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.TextureLavaFlowFX.field_1139_k(TextureLavaFlowFX.java:8)	Change visibility of Field "TextureLavaFlowFX.field_1139_k" to private	TextureLavaFlowFX.field_1139_k	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.WorldProviderSurfaceClassic.<init>(WorldProviderSurfaceClassic.java:5)	Change visibility of Class "WorldProviderSurfaceClassic" to default - May cause compile errors!	WorldProviderSurfaceClassic	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NoiseGeneratorPerlin.<init>(NoiseGeneratorPerlin.java:5)	Change visibility of Class "NoiseGeneratorPerlin" to default - May cause compile errors!	NoiseGeneratorPerlin	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NoiseGeneratorPerlin.NoiseGeneratorPerlin(NoiseGeneratorPerlin.java:15)	Change visibility of Constructor "NoiseGeneratorPerlin.NoiseGeneratorPerlin(Random)" to default	NoiseGeneratorPerlin.NoiseGeneratorPerlin(Random)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NoiseGeneratorPerlin.lerp(NoiseGeneratorPerlin.java:35)	Change visibility of Method "NoiseGeneratorPerlin.lerp(double,double,double)" to private	NoiseGeneratorPerlin.lerp(double,double,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NoiseGeneratorPerlin.func_4110_a(NoiseGeneratorPerlin.java:39)	Change visibility of Method "NoiseGeneratorPerlin.func_4110_a(int,double,double)" to private	NoiseGeneratorPerlin.func_4110_a(int,double,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NoiseGeneratorPerlin.grad(NoiseGeneratorPerlin.java:46)	Change visibility of Method "NoiseGeneratorPerlin.grad(int,double,double,double)" to private	NoiseGeneratorPerlin.grad(int,double,double,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NoiseGeneratorPerlin.populateNoiseArray(NoiseGeneratorPerlin.java:53)	Change visibility of Method "NoiseGeneratorPerlin.populateNoiseArray(double[],double,double,double,int,*,*,*,*,*,*)" to default	NoiseGeneratorPerlin.populateNoiseArray(double[],double,double,double,int,*,*,*,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NoiseGeneratorPerlin.xCoord(NoiseGeneratorPerlin.java:7)	Change visibility of Field "NoiseGeneratorPerlin.xCoord" to private	NoiseGeneratorPerlin.xCoord	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NoiseGeneratorPerlin.yCoord(NoiseGeneratorPerlin.java:8)	Change visibility of Field "NoiseGeneratorPerlin.yCoord" to private	NoiseGeneratorPerlin.yCoord	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NoiseGeneratorPerlin.zCoord(NoiseGeneratorPerlin.java:9)	Change visibility of Field "NoiseGeneratorPerlin.zCoord" to private	NoiseGeneratorPerlin.zCoord	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ItemSoup.<init>(ItemSoup.java:3)	Change visibility of Class "ItemSoup" to default - May cause compile errors!	ItemSoup	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemSoup.ItemSoup(ItemSoup.java:4)	Change visibility of Constructor "ItemSoup.ItemSoup(int,int)" to default	ItemSoup.ItemSoup(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.PlayerControllerCreative.<init>(PlayerControllerCreative.java:7)	Change visibility of Class "PlayerControllerCreative" to default - May cause compile errors!	PlayerControllerCreative	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.PlayerControllerCreative.PlayerControllerCreative(PlayerControllerCreative.java:10)	Change visibility of Constructor "PlayerControllerCreative.PlayerControllerCreative(Minecraft)" to default	PlayerControllerCreative.PlayerControllerCreative(Minecraft)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.PlayerControllerCreative.enableAbilities(PlayerControllerCreative.java:15)	Change visibility of Method "PlayerControllerCreative.enableAbilities(EntityPlayer)" to default	PlayerControllerCreative.enableAbilities(EntityPlayer)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.PlayerControllerCreative.disableAbilities(PlayerControllerCreative.java:21)	Change visibility of Method "PlayerControllerCreative.disableAbilities(EntityPlayer)" to default	PlayerControllerCreative.disableAbilities(EntityPlayer)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.PlayerControllerCreative.clickBlockCreative(PlayerControllerCreative.java:39)	Change visibility of Method "PlayerControllerCreative.clickBlockCreative(Minecraft,PlayerController,int,*,*,*)" to default	PlayerControllerCreative.clickBlockCreative(Minecraft,PlayerController,int,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EnchantmentOxygen.<init>(EnchantmentOxygen.java:3)	Change visibility of Class "EnchantmentOxygen" to default - May cause compile errors!	EnchantmentOxygen	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EnchantmentOxygen.EnchantmentOxygen(EnchantmentOxygen.java:4)	Change visibility of Constructor "EnchantmentOxygen.EnchantmentOxygen(int,int)" to default	EnchantmentOxygen.EnchantmentOxygen(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityAIMoveIndoors.<init>(EntityAIMoveIndoors.java:3)	Change visibility of Class "EntityAIMoveIndoors" to default - May cause compile errors!	EntityAIMoveIndoors	org.ucdetector.analyzeMarkerVisibilityDefault	
